step,target_ratio,epoch_prune,epoch_post,epoch_recovered,prune_rate,param_prune_rate,planned_param_prune_rate,ap_post,ap_recovered
1,,,40,100,,,,0.7576,0.7608
2,,,60,100,,,,0.7495,0.7608
3,0.1,100,100,140,0.1136,0.1486,0.1486,0.4301,0.7586
4,0.2,140,140,180,0.1818,0.2819,0.2819,0.5483,0.7547
5,0.3,180,180,190,0.2045,0.3358,0.3358,0.7432,0.7546
6,0.4,190,190,200,0.2727,0.449,0.449,0.5348,0.7486
7,0.45,200,200,220,0.3182,0.5221,0.5221,0.612,0.7465
8,0.5,220,220,230,0.3409,0.5624,0.5624,0.7224,0.7465
9,0.5,230,230,240,0.3636,0.5982,0.5624,0.7199,0.7453
10,0.5,240,240,250,0.3864,0.6296,0.5624,0.7026,0.7443
11,0.5,250,250,260,0.4091,0.6565,0.5624,0.7122,0.7458
12,0.5,260,260,280,0.4318,0.6791,0.5624,0.6934,0.7435
13,0.5,280,280,290,0.4545,0.6972,0.5624,0.6825,0.7411
14,0.5,290,290,300,0.4773,0.711,0.5624,0.6594,0.7382
15,0.5,300,300,310,0.5,0.7203,0.5624,0.5755,0.7352
16,0.5,310,310,330,0.5227,0.7435,0.5624,0.5181,0.7324
17,0.5,330,330,350,0.5455,0.7593,0.5624,0.6293,0.7323
18,0.5,350,350,370,0.5682,0.7722,0.5624,0.6613,0.732
19,0.5,370,370,380,0.5909,0.7807,0.5624,0.6887,0.7299
20,0.5,380,380,430,0.6136,0.8044,0.5624,0.2855,0.7285
21,0.5,430,430,490,0.6364,0.8222,0.5624,0.2575,0.726
22,0.5,490,490,560,0.6591,0.8342,0.5624,0.0651,0.7232
