方法,输入r,实际剪枝率PR(%),参数量(M),GFLOPs,AP(%),AP@0.5(%),AP@0.75(%),AR(%),精度状态
HRNet-W48 (原论文),-,0,63.6,32.9,76.3,91.4,83.3,81.2,原始基线
HRNet-W48 (微调后),-,0,63.6,32.9,78.1,93.6,84.9,80.9,优化基线
APRC-HRNet-W48 v1 Golden,0.39,31.2,43.8,20.1,78.1,93.6,84.9,80.7,无损，传统方法上限
APRC-HRNet-W48 v2 Golden,0.61,58.2,26.6,16.4,78.1,93.6,84.7,80.7,无损，APRCP上限
v3 姿态感知剪枝 (only),0.65,62.1,23.5,15.1,78.1,93.5,84.8,80.7,无损，姿态感知上限
v4 完整框架 (+动态蒸馏),0.69,66.4,20.4,13.7,78.1,93.6,84.8,80.7,无损，完整框架上限
APRC-HRNet-W48 v1 Manual,0.78,69.0,19.7,9.8,77.5,93.5,84.7,80.0,有损(↓0.6)，传统方法上限
APRC-HRNet-W48 v2 Manual,0.78,73.9,16.6,11.7,77.6,93.5,84.7,80.2,有损(↓0.5)，APRCP上限
v3 姿态感知剪枝 (only),0.79,75.2,16.5,12.0,77.6,93.5,84.7,80.2,有损(↓0.5)，姿态感知上限
v4 完整框架 (+动态蒸馏),0.80,76.7,14.0,10.8,77.7,93.5,84.7,80.4,有损(↓0.4)，完整框架上限
